transaction_id,account_number,transaction_type,amount,balance_after,date
TXN0001,ACC1001,Deposit,5000.00,5000.00,2026-09-01 09:15:23
TXN0002,ACC1001,Withdrawal,1200.00,3800.00,2026-09-01 10:30:45
TXN0003,ACC1002,Deposit,10000.00,10000.00,2026-09-02 08:00:12
TXN0004,ACC1003,Deposit,3000.00,3000.00,2026-09-02 11:22:10
TXN0005,ACC1002,Withdrawal,2500.00,7500.00,2026-09-03 14:05:33
TXN0006,ACC1004,Deposit,7500.00,7500.00,2026-09-03 15:45:00
TXN0007,ACC1005,Deposit,2000.00,2000.00,2026-09-04 09:10:20
TXN0008,ACC1003,Deposit,1500.00,4500.00,2026-09-04 13:25:40
TXN0009,ACC1001,Deposit,2000.00,5800.00,2026-09-05 10:00:00
TXN0010,ACC1006,Deposit,15000.00,15000.00,2026-09-05 11:30:15
TXN0011,ACC1004,Withdrawal,3000.00,4500.00,2026-09-06 09:45:22
TXN0012,ACC1007,Deposit,6000.00,6000.00,2026-09-06 14:20:35
TXN0013,ACC1005,Withdrawal,500.00,1500.00,2026-09-07 08:55:10
TXN0014,ACC1008,Deposit,4000.00,4000.00,2026-09-07 10:10:50
TXN0015,ACC1006,Withdrawal,5000.00,10000.00,2026-09-08 09:30:00
TXN0016,ACC1002,Deposit,3000.00,10500.00,2026-09-08 11:15:25
TXN0017,ACC1009,Deposit,8000.00,8000.00,2026-09-09 08:40:30
TXN0018,ACC1003,Withdrawal,1000.00,3500.00,2026-09-09 13:50:45
TXN0019,ACC1010,Deposit,12000.00,12000.00,2026-09-10 09:05:15
TXN0020,ACC1007,Withdrawal,2000.00,4000.00,2026-09-10 14:35:20
TXN0021,ACC1001,Withdrawal,800.00,5000.00,2026-09-11 10:20:00
TXN0022,ACC1008,Deposit,2500.00,6500.00,2026-09-11 12:45:30
TXN0023,ACC1009,Withdrawal,3000.00,5000.00,2026-09-12 09:15:10
TXN0024,ACC1010,Withdrawal,2000.00,10000.00,2026-09-12 11:30:40
TXN0025,ACC1004,Deposit,5000.00,9500.00,2026-09-13 08:50:55
